#  Illinois Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,0.06
199402,0.06
199403,-0.81
199404,0.91
199405,-0.62
199406,-0.65
199407,-0.94
199408,-0.74
199409,-1.03
199410,-1.39
199411,0.58
199412,0.38
199501,0.96
199502,0.53
199503,0.09
199504,0.48
199505,2.29
199506,-0.21
199507,-0.50
199508,-0.47
199509,-1.16
199510,-1.11
199511,-1.22
199512,-1.63
199601,-1.37
199602,-1.67
199603,-1.74
199604,0.69
199605,1.98
199606,1.89
199607,2.17
199608,1.48
199609,1.28
199610,0.98
199611,1.08
199612,0.81
199701,1.05
199702,2.01
199703,-0.13
199704,-0.48
199705,-0.21
199706,-0.23
199707,-0.73
199708,-0.04
199709,-0.40
199710,-0.74
199711,-0.96
199712,-1.23
199801,0.31
199802,0.50
199803,1.11
199804,1.46
199805,1.31
199806,2.60
199807,2.34
199808,2.09
199809,1.31
199810,1.62
199811,1.28
199812,0.84
199901,1.81
199902,1.87
199903,1.16
199904,1.66
199905,1.25
199906,1.60
199907,-0.35
199908,-0.51
199909,-0.88
199910,-1.29
199911,-2.56
199912,-2.77
200001,-2.94
200002,-2.60
200003,-3.04
200004,-2.98
200005,-0.02
200006,1.38
200007,1.71
200008,1.75
200009,1.91
200010,1.48
200011,1.66
200012,1.57
200101,1.41
200102,2.00
200103,-0.70
200104,-1.24
200105,-0.03
200106,0.02
200107,0.12
200108,0.37
200109,0.49
200110,1.82
200111,1.82
200112,1.91
200201,1.91
200202,1.74
200203,1.79
200204,2.09
200205,3.22
200206,-0.10
200207,-0.61
200208,-0.42
200209,-1.05
200210,-0.87
200211,-1.61
200212,-1.89
200301,-2.40
200302,-2.30
200303,-2.59
200304,-2.60
200305,0.58
200306,0.62
200307,1.21
200308,0.81
200309,1.24
200310,0.94
200311,1.49
200312,1.64
200401,1.58
200402,-0.45
200403,-0.13
200404,-0.97
200405,0.79
200406,0.47
200407,0.74
200408,1.66
200409,0.58
200410,1.30
200411,2.08
200412,1.89
200501,3.24
200502,0.02
200503,-0.62
200504,-1.16
200505,-1.82
200506,-2.72
200507,-2.94
200508,-2.90
200509,-2.87
200510,-3.43
200511,-3.47
200512,-4.02
200601,-3.71
200602,-3.88
200603,0.62
200604,-0.21
200605,-0.37
200606,-0.71
200607,0.08
200608,0.26
200609,0.38
200610,0.89
200611,1.12
200612,1.61
200701,1.96
200702,2.07
200703,-0.26
200704,-0.22
200705,-1.14
200706,-1.15
200707,-1.18
200708,-1.00
200709,-1.81
200710,-1.72
200711,-2.29
200712,0.18
200801,0.41
200802,1.70
200803,2.23
200804,2.29
200805,2.68
200806,2.92
200807,3.66
200808,2.95
200809,4.47
200810,4.25
200811,3.83
200812,4.43
200901,3.66
200902,3.65
200903,3.59
200904,4.22
200905,4.34
200906,4.28
200907,4.52
200908,4.95
200909,4.34
200910,6.52
200911,6.07
200912,6.33
201001,5.55
201002,4.91
201003,4.12
201004,3.23
201005,3.28
201006,4.24
201007,4.49
201008,4.00
201009,3.82
201010,2.89
201011,2.61
201012,2.16
201101,1.71
201102,2.30
201103,1.87
201104,3.18
201105,3.30
201106,3.96
201107,-0.13
201108,-0.80
201109,-0.57
201110,-0.96
201111,0.52
201112,0.92
201201,0.89
201202,-0.17
201203,-1.29
201204,-1.51
201205,-2.24
201206,-3.06
201207,-4.36
201208,-4.28
201209,-3.37
201210,-2.62
201211,-3.07
201212,-3.15
201301,0.72
201302,1.12
201303,1.00
201304,2.26
201305,2.86
201306,3.10
201307,-0.02
201308,-0.74
201309,-1.44
201310,-1.20
201311,-1.31
201312,-1.25
201401,-1.12
201402,-0.74
201403,-1.19
201404,0.56
201405,0.15
201406,1.13
201407,1.17
201408,1.96
201409,2.36
201410,3.04
201411,3.04
201412,2.77
201501,2.39
201502,2.02
201503,1.57
201504,1.19
201505,1.41
201506,3.40
201507,3.82
201508,3.56
201509,3.24
201510,2.47
201511,3.14
201512,4.58
201601,3.73
201602,3.14
201603,2.65
201604,2.18
201605,2.06
201606,1.36
201607,2.48
201608,3.71
201609,3.50
201610,3.07
201611,2.81
201612,2.39
